>chr1	43860965	1	43860965
>chr2	38510824	2	82371789
>chr3	34610497	3	116982286
>chr4	31719609	4	148701895
>chr5	25701979	5	174403874
>chr6	24533638	6	198937512
>chr7	24230194	7	223167706
>chr8	23752516	8	246920222
>chr9	23231297	9	270151519
>chr10	20381856	10	290533375
>chr11	20367714	11	310901089
>chr12	19917026	12	330818115
>chr13	19776178	13	350594293
>chr14	19709171	14	370303464
>chr15	19381569	15	389685033
>chr16	18823667	16	408508700
>chr17	18214302	17	426723002
>chr18	17113877	18	443836879
>chr19	15322021	19	459158900
>scaf20	359029	20	459517929
>scaf21	327413	21	459845342
>scaf22	245829	22	460091171
>scaf23	207006	23	460298177
>scaf24	205776	24	460503953
>scaf25	185010	25	460688963
>scaf26	178506	26	460867469
>scaf27	165984	27	461033453
>scaf28	163235	28	461196688
>scaf29	153006	29	461349694
>scaf30	150008	30	461499702
>scaf31	113120	31	461612822
>scaf32	109007	32	461721829
>scaf33	109007	33	461830836
>scaf34	104007	34	461934843
>scaf35	100007	35	462034850
>scaf36	100007	36	462134857
>scaf37	99007	37	462233864
>scaf38	98192	38	462332056
>scaf39	95407	39	462427463
>scaf40	86445	40	462513908
>scaf41	83589	41	462597497
>scaf42	80007	42	462677504
>scaf43	77006	43	462754510
>scaf44	75008	44	462829518
>scaf45	75007	45	462904525
>scaf46	75007	46	462979532
>scaf47	73817	47	463053349
>scaf48	72570	48	463125919
>scaf49	72505	49	463198424
>scaf50	72008	50	463270432
>scaf51	72008	51	463342440
>scaf52	71947	52	463414387
>scaf53	71694	53	463486081
>scaf54	71007	54	463557088
>scaf55	70039	55	463627127
>scaf56	68007	56	463695134
>scaf57	67693	57	463762827
>scaf58	66050	58	463828877
>scaf59	65917	59	463894794
>scaf60	65743	60	463960537
>scaf61	65007	61	464025544
>scaf62	64986	62	464090530
>scaf63	64193	63	464154723
>scaf64	62927	64	464217650
>scaf65	62796	65	464280446
>scaf66	62173	66	464342619
>scaf67	61307	67	464403926
>scaf68	61062	68	464464988
>scaf69	61008	69	464525996
>scaf70	58804	70	464584800
>scaf71	57009	71	464641809
>scaf72	55567	72	464697376
>scaf73	52883	73	464750259
>scaf75	51008	74	464801267
>scaf74	51006	75	464852273
>scaf76	50945	76	464903218
>scaf77	50732	77	464953950
>scaf78	50465	78	465004415
>scaf79	50403	79	465054818
>scaf96	50009	80	465104827
>scaf93	50008	81	465154835
>scaf80	50007	82	465204842
>scaf82	50007	83	465254849
>scaf83	50007	84	465304856
>scaf84	50007	85	465354863
>scaf85	50007	86	465404870
>scaf86	50007	87	465454877
>scaf87	50007	88	465504884
>scaf88	50007	89	465554891
>scaf90	50007	90	465604898
>scaf91	50007	91	465654905
>scaf92	50007	92	465704912
>scaf94	50007	93	465754919
>scaf89	50006	94	465804925
>scaf97	50006	95	465854931
>scaf81	50005	96	465904936
>scaf98	49296	97	465954232
